x, y
1.000000000000000000e+00,1.329316867057984190e-17
9.999900183415911803e-01,-7.255051366886718536e-07
9.999600737851307430e-01,-2.901972158836459360e-06
9.999101675868926620e-01,-6.529255919933643100e-06
9.998403018405863651e-01,-1.160711456837091289e-05
9.997504794772377190e-01,-1.813520963593906894e-05
9.996407042650206076e-01,-2.611310616143311476e-05
9.995109808090411052e-01,-3.554027285021742449e-05
9.993613145510737983e-01,-4.641608226776480924e-05
9.991917117692505901e-01,-5.873981106862042234e-05
9.990021795777012104e-01,-7.251064025988014302e-05
9.987927259261462076e-01,-8.772765549897609838e-05
9.985633595994427569e-01,-1.043898474251274454e-04
9.983140902170828390e-01,-1.224961120247550737e-04
9.980449282326426808e-01,-1.420452510301758260e-04
9.977558849331878976e-01,-1.630359723508088517e-04
9.974469724386280101e-01,-1.854668905372492652e-04
9.971182037010263288e-01,-2.093365272767022428e-04
9.967695925038622118e-01,-2.346433119204537770e-04
9.964011534612460252e-01,-2.613855820416093999e-04
9.960129020170884750e-01,-2.895615840234499094e-04
9.956048544442228643e-01,-3.191694736772038581e-04
9.951770278434816097e-01,-3.502073168891438348e-04
9.947294401427252408e-01,-3.826730902956051810e-04
9.942621100958279889e-01,-4.165646819857719103e-04
9.937750572816156369e-01,-4.518798922316917695e-04
9.932683021027585157e-01,-4.886164342436574021e-04
9.927418657846195371e-01,-5.267719349514281149e-04
9.921957703740567069e-01,-5.663439358098898337e-04
9.916300387381813408e-01,-6.073298936282320532e-04
9.910446945630713156e-01,-6.497271814215480404e-04
9.904397623524404670e-01,-6.935330892849152652e-04
9.898152674262625794e-01,-7.387448252878290158e-04
9.891712359193536308e-01,-7.853595163886653487e-04
9.885076947799088520e-01,-8.333742093682605830e-04
9.878246717679975974e-01,-8.827858717812927429e-04
9.871221954540136956e-01,-9.335913929245929273e-04
9.864002952170851657e-01,-9.857875848212835357e-04
9.856590012434398584e-01,-1.039371183219735262e-03
9.848983445247294632e-01,-1.094338848606144377e-03
9.841183568563122153e-01,-1.150687167229719502e-03
9.833190708354935250e-01,-1.208412652139453838e-03
9.825005198597247524e-01,-1.267511744230968330e-03
9.816627381247634565e-01,-1.327980813302437422e-03
9.808057606227897907e-01,-1.389816159119019708e-03
9.799296231404855950e-01,-1.453014012483107948e-03
9.790343622570714111e-01,-1.517570536311211356e-03
9.781200153423059707e-01,-1.583481826714197615e-03
9.771866205544442741e-01,-1.650743914081464689e-03
9.762342168381581420e-01,-1.719352764166177548e-03
9.752628439224183543e-01,-1.789304279171945351e-03
9.742725423183375977e-01,-1.860594298838245519e-03
9.732633533169761098e-01,-1.933218601524125434e-03
9.722353189871105750e-01,-2.007172905288944278e-03
9.711884821729641626e-01,-2.082452868968236170e-03
9.701228864919011485e-01,-2.159054093244192844e-03
9.690385763320846779e-01,-2.236972121709147800e-03
9.679355968500986673e-01,-2.316202441920305749e-03
9.668139939685331807e-01,-2.396740486445564887e-03
9.656738143735359436e-01,-2.478581633897862686e-03
9.645151055123276640e-01,-2.561721209957733367e-03
9.633379155906824920e-01,-2.646154488382253429e-03
9.621422935703759505e-01,-2.731876691999405964e-03
9.609282891665972270e-01,-2.818882993686338927e-03
9.596959528453283816e-01,-2.907168517330398910e-03
9.584453358206912466e-01,-2.996728338771828884e-03
9.571764900522604647e-01,-3.087557486726367432e-03
9.558894682423447753e-01,-3.179650943687088119e-03
9.545843238332359926e-01,-3.273003646804009247e-03
9.532611110044262315e-01,-3.367610488740166875e-03
9.519198846697938254e-01,-3.463466318502961966e-03
9.505607004747586020e-01,-3.560565942249886966e-03
9.491836147934059609e-01,-3.658904124066853294e-03
9.477886847255815317e-01,-3.758475586718700804e-03
9.463759680939546337e-01,-3.859275012370090314e-03
9.449455234410536475e-01,-3.961297043276016359e-03
9.434974100262708552e-01,-4.064536282440724992e-03
9.420316878228396362e-01,-4.168987294244141072e-03
9.405484175147824644e-01,-4.274644605033951078e-03
9.390476604938303717e-01,-4.381502703683669286e-03
9.375294788563157677e-01,-4.489556042114282129e-03
9.359939354000365030e-01,-4.598799035779474638e-03
9.344410936210936214e-01,-4.709226064112882054e-03
9.328710177107017998e-01,-4.820831470936461950e-03
9.312837725519734766e-01,-4.933609564829396187e-03
9.296794237166774444e-01,-5.047554619456446311e-03
9.280580374619692430e-01,-5.162660873854751052e-03
9.264196807271000145e-01,-5.278922532678458762e-03
9.247644211300954931e-01,-5.396333766400017787e-03
9.230923269644137896e-01,-5.514888711468171612e-03
9.214034671955768641e-01,-5.634581470420751449e-03
9.196979114577773506e-01,-5.755406111952510000e-03
9.179757300504620687e-01,-5.877356670936877484e-03
9.162369939348919967e-01,-6.000427148401209741e-03
9.144817747306782652e-01,-6.124611511454446794e-03
9.127101447122939470e-01,-6.249903693167488047e-03
9.109221768055660862e-01,-6.376297592404773194e-03
9.091179445841406359e-01,-6.503787073607233613e-03
9.072975222659294126e-01,-6.632365966525888279e-03
9.054609847095317354e-01,-6.762028065905817918e-03
9.036084074106359720e-01,-6.892767131119861661e-03
9.017398664983978795e-01,-7.024576885751953811e-03
8.998554387317998504e-01,-7.157451017129771130e-03
8.979552014959871764e-01,-7.291383175806243067e-03
8.960392327985833294e-01,-7.426366974989927552e-03
8.941076112659862574e-01,-7.562395989923840350e-03
8.921604161396426980e-01,-7.699463757212849854e-03
8.901977272723025081e-01,-7.837563774099543662e-03
8.882196251242541196e-01,-7.976689497687934616e-03
8.862261907595382349e-01,-8.116834344116093114e-03
8.842175058421438694e-01,-8.257991687676425469e-03
8.821936526321844108e-01,-8.400154859884987821e-03
8.801547139820535826e-01,-8.543317148498895397e-03
8.781007733325634224e-01,-8.687471796482678851e-03
8.760319147090632752e-01,-8.832612000923237283e-03
8.739482227175405793e-01,-8.978730911894232739e-03
8.718497825407016677e-01,-9.125821631269938339e-03
8.697366799340368049e-01,-9.273877211488604222e-03
8.676090012218644620e-01,-9.422890654266451518e-03
8.654668332933598274e-01,-9.572854909261739251e-03
8.633102635985645534e-01,-9.723762872690557349e-03
8.611393801443791851e-01,-9.875607385893615461e-03
8.589542714905376020e-01,-1.002838123385582300e-02
8.567550267455652513e-01,-1.018207714367835859e-02
8.545417355627202838e-01,-1.033668778300399563e-02
8.523144881359154823e-01,-1.049220575839724529e-02
8.500733751956267570e-01,-1.064862361367879644e-02
8.478184880047817673e-01,-1.080593382821595783e-02
8.455499183546355546e-01,-1.096412881516965233e-02
8.432677585606253023e-01,-1.112320091969866767e-02
8.409721014582131060e-01,-1.128314241712252003e-02
8.386630403987099802e-01,-1.144394551104320479e-02
8.363406692450845448e-01,-1.160560233142787952e-02
8.340050823677563896e-01,-1.176810493265227804e-02
8.316563746403731194e-01,-1.193144529150691469e-02
8.292946414355716334e-01,-1.209561530516676739e-02
8.269199786207241942e-01,-1.226060678912595757e-02
8.245324825536698432e-01,-1.242641147509782572e-02
8.221322500784287168e-01,-1.259302100888284523e-02
8.197193785209029304e-01,-1.276042694820460517e-02
8.172939656845618073e-01,-1.292862076051603214e-02
8.148561098461122310e-01,-1.309759382077597088e-02
8.124059097511541205e-01,-1.326733740919973543e-02
8.099434646098212509e-01,-1.343784270898207289e-02
8.074688740924079733e-01,-1.360910080399696694e-02
8.049822383249809477e-01,-1.378110267647361491e-02
8.024836578849769975e-01,-1.395383920465134535e-02
7.999732337967859763e-01,-1.412730116041443530e-02
7.974510675273209781e-01,-1.430147920690889342e-02
7.949172609815731150e-01,-1.447636389614222543e-02
7.923719164981539720e-01,-1.465194566656854991e-02
7.898151368448225185e-01,-1.482821484066025423e-02
7.872470252140000291e-01,-1.500516162246806270e-02
7.846676852182711270e-01,-1.518277609517138839e-02
7.820772208858711716e-01,-1.536104821862056477e-02
7.794757366561607670e-01,-1.553996782687277686e-02
7.768633373750872817e-01,-1.571952462572363818e-02
7.742401282906328230e-01,-1.589970819023624540e-02
7.716062150482503323e-01,-1.608050796226928245e-02
7.689617036862870236e-01,-1.626191324800646543e-02
7.663067006313939444e-01,-1.644391321548934262e-02
7.636413126939252116e-01,-1.662649689215432020e-02
7.609656470633235914e-01,-1.680965316237746643e-02
7.582798113034946441e-01,-1.699337076502771549e-02
